Date,Close,High,Low,Open,Volume,Stock,Adj Close
2020-01-01,1866.114013671875,1880.1467192342836,1854.40551963228,1866.4582945973923,1354908.0,TCS,
2020-01-02,1857.5478515625,1876.746243176184,1850.273182660898,1876.746243176184,2380752.0,TCS,
2020-01-03,1894.5667724609375,1913.808248506578,1863.0144173496333,1863.0144173496333,4655761.0,TCS,
2020-01-06,1894.39453125,1916.3477960907423,1883.5900392622323,1898.3117244642015,3023209.0,TCS,
2020-01-07,1899.0435791015625,1906.6194395858722,1880.060419869474,1894.437613985228,2429317.0,TCS,
2020-01-08,1941.57275390625,1945.6620879406387,1895.7722547578385,1898.311904384561,5197454.0,TCS,
2020-01-09,1906.3609619140625,1938.7311336370174,1902.61590987321,1935.9762567092223,3734173.0,TCS,
2020-01-10,1905.6732177734375,1923.278839238219,1900.8951105810152,1918.1133633942488,1915807.0,TCS,
2020-01-13,1885.699462890625,1910.3214301600913,1880.835181969397,1909.3745526787739,2843893.0,TCS,
2020-01-14,1899.9473876953125,1919.662406688526,1889.7026147684453,1889.7026147684453,2948452.0,TCS,
2020-01-15,1917.166015625,1920.695841046894,1889.0142181269018,1905.1994156148705,2620681.0,TCS,
2020-01-16,1927.410888671875,1936.192153869222,1906.9211297555921,1917.2089917823173,3117214.0,TCS,
2020-01-17,1910.4512939453125,1940.1096918977858,1905.1996428490486,1929.0899682394966,3281059.0,TCS,
2020-01-20,1868.481689453125,1930.3381317979847,1856.2996504181851,1889.6169250023481,5817599.0,TCS,
2020-01-21,1869.083984375,1882.4281271198668,1857.892122718015,1868.136896622852,1902980.0,TCS,
2020-01-22,1899.9473876953125,1902.6163000629904,1871.365139613455,1877.6498418268698,1773686.0,TCS,
2020-01-23,1890.499267578125,1913.6241557817686,1884.243478995364,1906.7644021576966,2069866.0,TCS,
2020-01-24,1883.9844970703125,1890.4991877273208,1872.4221587873521,1890.4991877273208,1319430.0,TCS,
2020-01-27,1871.775146484375,1892.6564958676415,1868.1079599578986,1889.4207430501624,1549101.0,TCS,
2020-01-28,1884.286865234375,1887.781520671304,1856.8908226602746,1875.8739072785488,1743024.0,TCS,
2020-01-29,1859.134033203125,1887.0476649278505,1855.1647592213335,1885.365115766797,2306761.0,TCS,
2020-01-30,1844.68115234375,1868.1079179511214,1833.5932220074517,1863.7935809581627,2098567.0,TCS,
2020-01-31,1793.9444580078125,1850.2897397237982,1787.5161381966818,1846.0183776890453,3287223.0,TCS,
2020-02-03,1814.1787109375,1893.7350431921934,1806.154001974521,1856.890647294887,4728073.0,TCS,
2020-02-04,1818.708740234375,1843.6887090284197,1800.4591792106855,1837.0446722614088,3509339.0,TCS,
2020-02-05,1852.1881103515625,1860.946130437135,1815.7319617026758,1824.9646010034498,2439322.0,TCS,
2020-02-06,1836.48388671875,1876.0462300017393,1825.3959565354344,1850.8505444426883,2640065.0,TCS,
2020-02-07,1843.5592041015625,1856.027594671837,1828.4158405902476,1845.673186891241,2083442.0,TCS,
2020-02-10,1865.4759521484375,1869.8334742274922,1828.4158430494028,1847.3125530100199,2383032.0,TCS,
2020-02-11,1858.0986328125,1876.5641221446606,1853.0941702653001,1866.3822443750944,1335820.0,TCS,
2020-02-12,1873.0693359375,1885.3651959108315,1855.1648380815961,1856.114076449192,1620407.0,TCS,
2020-02-13,1891.36181640625,1895.7193381276727,1873.2847897474635,1874.9673387437895,1645948.0,TCS,
2020-02-14,1884.6746826171875,1908.6624352832282,1873.284876582228,1887.9536204338622,1500115.0,TCS,
2020-02-17,1901.1123046875,1912.9767296004482,1889.8518447288384,1895.6761987770128,1774724.0,TCS,
2020-02-18,1911.8985595703125,1916.42861369995,1886.2714383405635,1898.265211676537,2486223.0,TCS,
2020-02-19,1895.1593017578125,1924.1947116854246,1890.1114421286647,1911.8988486174796,1760463.0,TCS,
2020-02-20,1861.032470703125,1910.7335070873578,1856.2435144488165,1902.191203998799,2317278.0,TCS,
2020-02-24,1825.266845703125,1880.1450921656215,1817.8029154506817,1860.3423252236662,3092877.0,TCS,
2020-02-25,1860.471435546875,1878.1602170120473,1821.5130572184623,1825.3959604669149,2674567.0,TCS,
2020-02-26,1832.385498046875,1867.1588895931443,1823.1958328214957,1858.6165856505193,2686842.0,TCS,
2020-02-27,1816.76708984375,1829.2354801258264,1800.11370891603,1829.2354801258264,2349001.0,TCS,
2020-02-28,1725.8641357421875,1785.7039648637196,1717.1060111518734,1784.4096638502886,4298076.0,TCS,
2020-03-02,1726.8570556640625,1772.2869527929647,1713.3962361719937,1755.9356530941495,2667076.0,TCS,
2020-03-03,1756.970458984375,1777.5067440821795,1736.0891112103618,1742.9920500223313,2757585.0,TCS,
2020-03-04,1797.5255126953125,1807.232771955974,1747.3066669190266,1774.05555910396,3237002.0,TCS,
2020-03-05,1833.63623046875,1853.2232763934212,1798.2586705422545,1799.682317348081,3937056.0,TCS,
2020-03-06,1826.2158203125,1832.4284239832248,1787.5163405617118,1810.295957574704,2595027.0,TCS,
2020-03-09,1701.8763427734375,1794.677660126744,1669.6482693383523,1790.4496945101193,4940975.0,TCS,
2020-03-11,1685.7840576171875,1714.7764875598261,1656.7054673280554,1667.9227439297556,6796449.0,TCS,
2020-03-12,1527.1458740234375,1646.6961965549096,1517.2228987467024,1642.8995588611901,8728786.0,TCS,
2020-03-13,1558.5975341796875,1570.4187762422782,1299.5215794726853,1456.434005911892,8029720.0,TCS,
2020-03-16,1463.768310546875,1589.6175025323976,1446.0363429555694,1514.3323202303477,7844271.0,TCS,
2020-03-17,1430.634033203125,1493.6233482959044,1400.563127817395,1492.7604809658662,5713248.0,TCS,
